id,date,layer,total_cases,new_cases,active_cases_7,active_cases_14,new_cases_mean_7,new_cases_mean_14,max_new_cases,max_new_cases_date
33030,2021-04-04,cnig_municipios,60,0,0,0,0.0,0.0,5,2020-10-23
33069,2021-04-04,cnig_municipios,187,1,3,6,0.42857142857142855,0.42857142857142855,15,2020-11-21
33049,2021-04-04,cnig_municipios,293,0,2,2,0.2857142857142857,0.14285714285714285,14,2021-03-09
33052,2021-04-04,cnig_municipios,19,0,0,0,0.0,0.0,3,2021-02-11
33013,2021-04-04,cnig_municipios,3,0,0,0,0.0,0.0,1,2020-12-01
33017,2021-04-04,cnig_municipios,37,0,4,5,0.5714285714285714,0.35714285714285715,3,2020-08-01
33015,2021-04-04,cnig_municipios,36,0,0,0,0.0,0.0,4,2021-01-22
33035,2021-04-03,cnig_municipios,501,0,17,34,2.4285714285714284,2.4285714285714284,11,2020-11-08
33001,2021-04-03,cnig_municipios,53,0,0,1,0.0,0.07142857142857142,5,2020-10-27
33002,2021-04-03,cnig_municipios,466,0,2,4,0.2857142857142857,0.2857142857142857,23,2021-01-28
33078,2021-04-03,cnig_municipios,8,0,0,0,0.0,0.0,3,2021-01-15
33058,2021-04-03,cnig_municipios,74,0,1,1,0.14285714285714285,0.07142857142857142,22,2020-10-15
33046,2021-04-03,cnig_municipios,15,0,0,0,0.0,0.0,5,2021-02-18
33020,2021-04-03,cnig_municipios,841,2,4,8,0.5714285714285714,0.5714285714285714,39,2021-01-24
33041,2021-04-03,cnig_municipios,149,1,3,5,0.42857142857142855,0.35714285714285715,5,2020-10-18
33021,2021-04-03,cnig_municipios,329,0,2,2,0.2857142857142857,0.14285714285714285,11,2021-01-29
33010,2021-04-03,cnig_municipios,70,0,3,3,0.42857142857142855,0.21428571428571427,4,2020-04-03
33038,2021-04-03,cnig_municipios,59,0,1,1,0.14285714285714285,0.07142857142857142,3,2021-01-27
33004,2021-04-03,cnig_municipios,4370,2,23,49,3.2857142857142856,3.5,99,2021-01-29
33012,2021-04-03,cnig_municipios,224,0,1,2,0.14285714285714285,0.14285714285714285,10,2021-03-05
33027,2021-04-03,cnig_municipios,12,0,0,0,0.0,0.0,3,2020-10-05
33047,2021-04-03,cnig_municipios,23,0,0,0,0.0,0.0,3,2020-12-22
33071,2021-04-03,cnig_municipios,18,0,0,0,0.0,0.0,4,2021-02-03
33007,2021-04-03,cnig_municipios,43,0,2,2,0.2857142857142857,0.14285714285714285,3,2020-09-14
33062,2021-04-03,cnig_municipios,13,0,0,0,0.0,0.0,2,2021-02-02
33063,2021-04-03,cnig_municipios,9,0,0,0,0.0,0.0,3,2021-01-27
33009,2021-04-03,cnig_municipios,20,0,0,1,0.0,0.07142857142857142,3,2020-10-09
33056,2021-04-03,cnig_municipios,153,0,1,2,0.14285714285714285,0.14285714285714285,12,2021-01-28
33057,2021-04-03,cnig_municipios,53,0,1,3,0.14285714285714285,0.21428571428571427,4,2021-01-11
33025,2021-04-03,cnig_municipios,477,0,3,10,0.42857142857142855,0.7142857142857143,12,2021-02-03
33065,2021-04-03,cnig_municipios,42,0,0,0,0.0,0.0,4,2021-01-28
33074,2021-04-03,cnig_municipios,70,0,6,7,0.8571428571428571,0.5,5,2021-02-02
33033,2021-04-03,cnig_municipios,759,0,6,11,0.8571428571428571,0.7857142857142857,37,2020-11-24
33053,2021-04-03,cnig_municipios,83,0,0,0,0.0,0.0,21,2021-01-22
33044,2021-04-03,cnig_municipios,9900,20,210,423,30.0,30.214285714285715,156,2020-11-11
33061,2021-04-03,cnig_municipios,1,0,0,1,0.0,0.07142857142857142,1,2021-03-24
33019,2021-04-03,cnig_municipios,75,0,0,0,0.0,0.0,3,2021-01-16
33006,2021-04-03,cnig_municipios,73,0,0,0,0.0,0.0,5,2021-02-16
33051,2021-04-03,cnig_municipios,319,0,2,6,0.2857142857142857,0.42857142857142855,22,2020-04-11
33031,2021-04-03,cnig_municipios,2259,8,71,147,10.142857142857142,10.5,74,2020-11-12
33022,2021-04-03,cnig_municipios,6,0,0,0,0.0,0.0,2,2020-11-16
33005,2021-04-03,cnig_municipios,41,0,0,2,0.0,0.14285714285714285,3,2021-02-19
33045,2021-04-03,cnig_municipios,218,1,5,15,0.7142857142857143,1.0714285714285714,9,2021-01-20
33034,2021-04-03,cnig_municipios,341,0,3,3,0.42857142857142855,0.21428571428571427,8,2020-09-18
33055,2021-04-03,cnig_municipios,28,0,0,0,0.0,0.0,5,2021-01-18
33067,2021-04-03,cnig_municipios,43,0,1,1,0.14285714285714285,0.07142857142857142,6,2020-11-10
33008,2021-04-03,cnig_municipios,43,0,0,1,0.0,0.07142857142857142,4,2021-02-09
33043,2021-04-03,cnig_municipios,11,0,0,0,0.0,0.0,2,2020-09-20
33039,2021-04-03,cnig_municipios,50,0,1,2,0.14285714285714285,0.14285714285714285,3,2020-11-06
33068,2021-04-03,cnig_municipios,16,0,0,0,0.0,0.0,2,2020-10-27
33077,2021-04-03,cnig_municipios,9,0,0,0,0.0,0.0,3,2021-01-09
33076,2021-04-03,cnig_municipios,517,1,6,9,0.8571428571428571,0.6428571428571429,35,2020-11-05
33026,2021-04-03,cnig_municipios,539,1,1,2,0.14285714285714285,0.14285714285714285,41,2020-03-19
33066,2021-04-03,cnig_municipios,2284,7,60,144,8.571428571428571,10.285714285714286,61,2020-11-13
33024,2021-04-03,cnig_municipios,13700,14,206,419,29.428571428571427,29.928571428571427,368,2020-11-13
33023,2021-04-03,cnig_municipios,45,0,0,1,0.0,0.07142857142857142,3,2021-01-20
33070,2021-04-03,cnig_municipios,64,0,1,1,0.14285714285714285,0.07142857142857142,4,2020-03-15
33028,2021-04-03,cnig_municipios,21,0,1,1,0.14285714285714285,0.07142857142857142,3,2020-12-11
