id,date,layer,total_cases,new_cases,active_cases_7,active_cases_14,new_cases_mean_7,new_cases_mean_14,max_new_cases,max_new_cases_date
33035,2021-04-06,cnig_municipios,505,1,15,27,2.142857142857143,1.9285714285714286,11,2020-11-08
33001,2021-04-06,cnig_municipios,55,1,2,3,0.2857142857142857,0.21428571428571427,5,2020-10-27
33002,2021-04-06,cnig_municipios,469,1,3,6,0.42857142857142855,0.42857142857142855,23,2021-01-28
33078,2021-04-06,cnig_municipios,8,0,0,0,0.0,0.0,3,2021-01-15
33058,2021-04-06,cnig_municipios,74,0,0,1,0.0,0.07142857142857142,22,2020-10-15
33046,2021-04-06,cnig_municipios,15,0,0,0,0.0,0.0,5,2021-02-18
33020,2021-04-06,cnig_municipios,843,0,6,8,0.8571428571428571,0.5714285714285714,39,2021-01-24
33041,2021-04-06,cnig_municipios,149,0,2,5,0.2857142857142857,0.35714285714285715,5,2020-10-18
33021,2021-04-06,cnig_municipios,330,0,3,3,0.42857142857142855,0.21428571428571427,11,2021-01-29
33010,2021-04-06,cnig_municipios,70,0,1,3,0.14285714285714285,0.21428571428571427,4,2020-04-03
33038,2021-04-06,cnig_municipios,60,1,1,2,0.14285714285714285,0.14285714285714285,3,2021-01-27
33004,2021-04-06,cnig_municipios,4381,6,27,51,3.857142857142857,3.642857142857143,99,2021-01-29
33012,2021-04-06,cnig_municipios,225,0,1,2,0.14285714285714285,0.14285714285714285,10,2021-03-05
33027,2021-04-06,cnig_municipios,12,0,0,0,0.0,0.0,3,2020-10-05
33047,2021-04-06,cnig_municipios,23,0,0,0,0.0,0.0,3,2020-12-22
33071,2021-04-06,cnig_municipios,18,0,0,0,0.0,0.0,4,2021-02-03
33007,2021-04-06,cnig_municipios,43,0,2,2,0.2857142857142857,0.14285714285714285,3,2020-09-14
33062,2021-04-06,cnig_municipios,13,0,0,0,0.0,0.0,2,2021-02-02
33063,2021-04-06,cnig_municipios,9,0,0,0,0.0,0.0,3,2021-01-27
33009,2021-04-06,cnig_municipios,20,0,0,0,0.0,0.0,3,2020-10-09
33056,2021-04-06,cnig_municipios,153,0,1,1,0.14285714285714285,0.07142857142857142,12,2021-01-28
33057,2021-04-06,cnig_municipios,54,1,1,2,0.14285714285714285,0.14285714285714285,4,2021-01-11
33025,2021-04-06,cnig_municipios,481,1,6,10,0.8571428571428571,0.7142857142857143,12,2021-02-03
33065,2021-04-06,cnig_municipios,42,0,0,0,0.0,0.0,4,2021-01-28
33074,2021-04-06,cnig_municipios,70,0,0,7,0.0,0.5,5,2021-02-02
33033,2021-04-06,cnig_municipios,763,2,6,15,0.8571428571428571,1.0714285714285714,37,2020-11-24
33053,2021-04-06,cnig_municipios,83,0,0,0,0.0,0.0,21,2021-01-22
33044,2021-04-06,cnig_municipios,9980,33,205,414,29.285714285714285,29.571428571428573,156,2020-11-11
33061,2021-04-06,cnig_municipios,1,0,0,1,0.0,0.07142857142857142,1,2021-03-24
33019,2021-04-06,cnig_municipios,75,0,0,0,0.0,0.0,3,2021-01-16
33006,2021-04-06,cnig_municipios,73,0,0,0,0.0,0.0,5,2021-02-16
33051,2021-04-06,cnig_municipios,320,0,3,7,0.42857142857142855,0.5,22,2020-04-11
33031,2021-04-06,cnig_municipios,2289,10,70,147,10.0,10.5,74,2020-11-12
33022,2021-04-06,cnig_municipios,6,0,0,0,0.0,0.0,2,2020-11-16
33005,2021-04-06,cnig_municipios,41,0,0,2,0.0,0.14285714285714285,3,2021-02-19
33045,2021-04-06,cnig_municipios,218,0,2,12,0.2857142857142857,0.8571428571428571,9,2021-01-20
33034,2021-04-06,cnig_municipios,343,2,3,5,0.42857142857142855,0.35714285714285715,8,2020-09-18
33055,2021-04-06,cnig_municipios,28,0,0,0,0.0,0.0,5,2021-01-18
33067,2021-04-06,cnig_municipios,43,0,1,1,0.14285714285714285,0.07142857142857142,6,2020-11-10
33008,2021-04-06,cnig_municipios,43,0,0,0,0.0,0.0,4,2021-02-09
33043,2021-04-06,cnig_municipios,11,0,0,0,0.0,0.0,2,2020-09-20
33039,2021-04-06,cnig_municipios,50,0,1,1,0.14285714285714285,0.07142857142857142,3,2020-11-06
33068,2021-04-06,cnig_municipios,16,0,0,0,0.0,0.0,2,2020-10-27
33077,2021-04-06,cnig_municipios,9,0,0,0,0.0,0.0,3,2021-01-09
33076,2021-04-06,cnig_municipios,522,1,8,13,1.1428571428571428,0.9285714285714286,35,2020-11-05
33026,2021-04-06,cnig_municipios,539,0,1,2,0.14285714285714285,0.14285714285714285,41,2020-03-19
33066,2021-04-06,cnig_municipios,2309,9,55,131,7.857142857142857,9.357142857142858,61,2020-11-13
33024,2021-04-06,cnig_municipios,13770,24,177,431,25.285714285714285,30.785714285714285,368,2020-11-13
33023,2021-04-06,cnig_municipios,45,0,0,1,0.0,0.07142857142857142,3,2021-01-20
33070,2021-04-06,cnig_municipios,64,0,0,1,0.0,0.07142857142857142,4,2020-03-15
33028,2021-04-06,cnig_municipios,21,0,0,1,0.0,0.07142857142857142,3,2020-12-11
33014,2021-04-06,cnig_municipios,447,1,13,19,1.8571428571428572,1.3571428571428572,18,2020-10-30
33037,2021-04-06,cnig_municipios,1644,14,57,110,8.142857142857142,7.857142857142857,41,2020-10-09
33064,2021-04-06,cnig_municipios,14,0,0,0,0.0,0.0,3,2020-12-17
33029,2021-04-06,cnig_municipios,12,0,0,0,0.0,0.0,3,2021-03-01
33036,2021-04-06,cnig_municipios,486,2,17,37,2.4285714285714284,2.642857142857143,15,2021-01-16
33054,2021-04-06,cnig_municipios,44,0,0,1,0.0,0.07142857142857142,3,2020-11-10
33060,2021-04-06,cnig_municipios,816,1,17,46,2.4285714285714284,3.2857142857142856,34,2020-11-05
33059,2021-04-06,cnig_municipios,210,0,1,1,0.14285714285714285,0.07142857142857142,17,2021-01-27
33018,2021-04-06,cnig_municipios,60,0,0,0,0.0,0.0,5,2021-02-09
33048,2021-04-06,cnig_municipios,1,0,0,0,0.0,0.0,1,2020-10-31
33032,2021-04-06,cnig_municipios,847,0,15,25,2.142857142857143,1.7857142857142858,30,2020-11-24
33072,2021-04-06,cnig_municipios,63,0,1,3,0.14285714285714285,0.21428571428571427,6,2020-10-09
33011,2021-04-06,cnig_municipios,448,0,2,6,0.2857142857142857,0.42857142857142855,16,2021-01-25
33075,2021-04-06,cnig_municipios,6,0,0,1,0.0,0.07142857142857142,2,2021-01-30
33073,2021-04-06,cnig_municipios,238,1,1,1,0.14285714285714285,0.07142857142857142,8,2021-02-05
33040,2021-04-06,cnig_municipios,194,2,2,3,0.2857142857142857,0.21428571428571427,11,2020-11-13
33003,2021-04-06,cnig_municipios,19,0,0,0,0.0,0.0,3,2020-12-30
33042,2021-04-06,cnig_municipios,215,1,4,6,0.5714285714285714,0.42857142857142855,9,2021-01-20
33016,2021-04-06,cnig_municipios,1270,1,5,13,0.7142857142857143,0.9285714285714286,33,2021-01-24
33050,2021-04-06,cnig_municipios,19,0,0,0,0.0,0.0,3,2020-09-30
33030,2021-04-06,cnig_municipios,60,0,0,0,0.0,0.0,5,2020-10-23
33069,2021-04-06,cnig_municipios,187,0,3,3,0.42857142857142855,0.21428571428571427,15,2020-11-21
33049,2021-04-06,cnig_municipios,298,3,7,7,1.0,0.5,14,2021-03-09
33052,2021-04-06,cnig_municipios,19,0,0,0,0.0,0.0,3,2021-02-11
33013,2021-04-06,cnig_municipios,3,0,0,0,0.0,0.0,1,2020-12-01
33017,2021-04-06,cnig_municipios,38,1,3,5,0.42857142857142855,0.35714285714285715,3,2020-08-01
33015,2021-04-06,cnig_municipios,36,0,0,0,0.0,0.0,4,2021-01-22
33035,2021-04-05,cnig_municipios,504,1,16,30,2.2857142857142856,2.142857142857143,11,2020-11-08
33001,2021-04-05,cnig_municipios,54,1,1,2,0.14285714285714285,0.14285714285714285,5,2020-10-27
33002,2021-04-05,cnig_municipios,468,2,2,5,0.2857142857142857,0.35714285714285715,23,2021-01-28
33078,2021-04-05,cnig_municipios,8,0,0,0,0.0,0.0,3,2021-01-15
33058,2021-04-05,cnig_municipios,74,0,0,1,0.0,0.07142857142857142,22,2020-10-15
33046,2021-04-05,cnig_municipios,15,0,0,0,0.0,0.0,5,2021-02-18
33020,2021-04-05,cnig_municipios,843,0,6,9,0.8571428571428571,0.6428571428571429,39,2021-01-24
33041,2021-04-05,cnig_municipios,149,0,2,5,0.2857142857142857,0.35714285714285715,5,2020-10-18
33021,2021-04-05,cnig_municipios,330,1,3,3,0.42857142857142855,0.21428571428571427,11,2021-01-29
33010,2021-04-05,cnig_municipios,70,0,1,3,0.14285714285714285,0.21428571428571427,4,2020-04-03
33038,2021-04-05,cnig_municipios,59,0,1,1,0.14285714285714285,0.07142857142857142,3,2021-01-27
33004,2021-04-05,cnig_municipios,4375,1,25,48,3.5714285714285716,3.4285714285714284,99,2021-01-29
33012,2021-04-05,cnig_municipios,225,0,1,3,0.14285714285714285,0.21428571428571427,10,2021-03-05
33027,2021-04-05,cnig_municipios,12,0,0,0,0.0,0.0,3,2020-10-05
33047,2021-04-05,cnig_municipios,23,0,0,0,0.0,0.0,3,2020-12-22
33071,2021-04-05,cnig_municipios,18,0,0,0,0.0,0.0,4,2021-02-03
33007,2021-04-05,cnig_municipios,43,0,2,2,0.2857142857142857,0.14285714285714285,3,2020-09-14
33062,2021-04-05,cnig_municipios,13,0,0,0,0.0,0.0,2,2021-02-02
33063,2021-04-05,cnig_municipios,9,0,0,0,0.0,0.0,3,2021-01-27
33009,2021-04-05,cnig_municipios,20,0,0,0,0.0,0.0,3,2020-10-09
33056,2021-04-05,cnig_municipios,153,0,1,2,0.14285714285714285,0.14285714285714285,12,2021-01-28
33057,2021-04-05,cnig_municipios,53,0,1,2,0.14285714285714285,0.14285714285714285,4,2021-01-11
33025,2021-04-05,cnig_municipios,480,0,5,10,0.7142857142857143,0.7142857142857143,12,2021-02-03
33065,2021-04-05,cnig_municipios,42,0,0,0,0.0,0.0,4,2021-01-28
33074,2021-04-05,cnig_municipios,70,0,5,7,0.7142857142857143,0.5,5,2021-02-02
33033,2021-04-05,cnig_municipios,761,0,6,13,0.8571428571428571,0.9285714285714286,37,2020-11-24
33053,2021-04-05,cnig_municipios,83,0,0,0,0.0,0.0,21,2021-01-22
33044,2021-04-05,cnig_municipios,9947,30,207,416,29.571428571428573,29.714285714285715,156,2020-11-11
33061,2021-04-05,cnig_municipios,1,0,0,1,0.0,0.07142857142857142,1,2021-03-24
33019,2021-04-05,cnig_municipios,75,0,0,0,0.0,0.0,3,2021-01-16
33006,2021-04-05,cnig_municipios,73,0,0,0,0.0,0.0,5,2021-02-16
33051,2021-04-05,cnig_municipios,320,0,3,7,0.42857142857142855,0.5,22,2020-04-11
33031,2021-04-05,cnig_municipios,2279,10,73,145,10.428571428571429,10.357142857142858,74,2020-11-12
33022,2021-04-05,cnig_municipios,6,0,0,0,0.0,0.0,2,2020-11-16
33005,2021-04-05,cnig_municipios,41,0,0,2,0.0,0.14285714285714285,3,2021-02-19
33045,2021-04-05,cnig_municipios,218,0,5,14,0.7142857142857143,1.0,9,2021-01-20
33034,2021-04-05,cnig_municipios,341,0,2,3,0.2857142857142857,0.21428571428571427,8,2020-09-18
33055,2021-04-05,cnig_municipios,28,0,0,0,0.0,0.0,5,2021-01-18
33067,2021-04-05,cnig_municipios,43,0,1,1,0.14285714285714285,0.07142857142857142,6,2020-11-10
33008,2021-04-05,cnig_municipios,43,0,0,0,0.0,0.0,4,2021-02-09
33043,2021-04-05,cnig_municipios,11,0,0,0,0.0,0.0,2,2020-09-20
33039,2021-04-05,cnig_municipios,50,0,1,1,0.14285714285714285,0.07142857142857142,3,2020-11-06
33068,2021-04-05,cnig_municipios,16,0,0,0,0.0,0.0,2,2020-10-27
33077,2021-04-05,cnig_municipios,9,0,0,0,0.0,0.0,3,2021-01-09
33076,2021-04-05,cnig_municipios,521,0,7,12,1.0,0.8571428571428571,35,2020-11-05
33026,2021-04-05,cnig_municipios,539,0,1,2,0.14285714285714285,0.14285714285714285,41,2020-03-19
33066,2021-04-05,cnig_municipios,2300,13,60,135,8.571428571428571,9.642857142857142,61,2020-11-13
33024,2021-04-05,cnig_municipios,13746,19,186,441,26.571428571428573,31.5,368,2020-11-13
33023,2021-04-05,cnig_municipios,45,0,0,1,0.0,0.07142857142857142,3,2021-01-20
33070,2021-04-05,cnig_municipios,64,0,0,1,0.0,0.07142857142857142,4,2020-03-15
33028,2021-04-05,cnig_municipios,21,0,0,1,0.0,0.07142857142857142,3,2020-12-11
33014,2021-04-05,cnig_municipios,446,4,14,19,2.0,1.3571428571428572,18,2020-10-30
33037,2021-04-05,cnig_municipios,1630,4,59,96,8.428571428571429,6.857142857142857,41,2020-10-09
33064,2021-04-05,cnig_municipios,14,0,0,1,0.0,0.07142857142857142,3,2020-12-17
33029,2021-04-05,cnig_municipios,12,0,0,0,0.0,0.0,3,2021-03-01
33036,2021-04-05,cnig_municipios,484,0,22,40,3.142857142857143,2.857142857142857,15,2021-01-16
33054,2021-04-05,cnig_municipios,44,0,0,1,0.0,0.07142857142857142,3,2020-11-10
33060,2021-04-05,cnig_municipios,815,4,20,47,2.857142857142857,3.357142857142857,34,2020-11-05
33059,2021-04-05,cnig_municipios,210,0,1,1,0.14285714285714285,0.07142857142857142,17,2021-01-27
33018,2021-04-05,cnig_municipios,60,0,0,0,0.0,0.0,5,2021-02-09
33048,2021-04-05,cnig_municipios,1,0,0,0,0.0,0.0,1,2020-10-31
33032,2021-04-05,cnig_municipios,847,4,16,26,2.2857142857142856,1.8571428571428572,30,2020-11-24
33072,2021-04-05,cnig_municipios,63,0,1,3,0.14285714285714285,0.21428571428571427,6,2020-10-09
33011,2021-04-05,cnig_municipios,448,0,3,6,0.42857142857142855,0.42857142857142855,16,2021-01-25
33075,2021-04-05,cnig_municipios,6,0,0,1,0.0,0.07142857142857142,2,2021-01-30
33073,2021-04-05,cnig_municipios,237,0,0,0,0.0,0.0,8,2021-02-05
33040,2021-04-05,cnig_municipios,192,0,1,3,0.14285714285714285,0.21428571428571427,11,2020-11-13
33003,2021-04-05,cnig_municipios,19,0,0,2,0.0,0.14285714285714285,3,2020-12-30
33042,2021-04-05,cnig_municipios,214,0,3,5,0.42857142857142855,0.35714285714285715,9,2021-01-20
33016,2021-04-05,cnig_municipios,1269,0,4,12,0.5714285714285714,0.8571428571428571,33,2021-01-24
33050,2021-04-05,cnig_municipios,19,0,0,0,0.0,0.0,3,2020-09-30
33030,2021-04-05,cnig_municipios,60,0,0,0,0.0,0.0,5,2020-10-23
33069,2021-04-05,cnig_municipios,187,0,3,3,0.42857142857142855,0.21428571428571427,15,2020-11-21
33049,2021-04-05,cnig_municipios,295,2,4,4,0.5714285714285714,0.2857142857142857,14,2021-03-09
33052,2021-04-05,cnig_municipios,19,0,0,0,0.0,0.0,3,2021-02-11
33013,2021-04-05,cnig_municipios,3,0,0,0,0.0,0.0,1,2020-12-01
33017,2021-04-05,cnig_municipios,37,0,3,4,0.42857142857142855,0.2857142857142857,3,2020-08-01
33015,2021-04-05,cnig_municipios,36,0,0,0,0.0,0.0,4,2021-01-22
33035,2021-04-04,cnig_municipios,503,2,16,34,2.2857142857142856,2.4285714285714284,11,2020-11-08
33001,2021-04-04,cnig_municipios,53,0,0,1,0.0,0.07142857142857142,5,2020-10-27
33002,2021-04-04,cnig_municipios,466,0,2,4,0.2857142857142857,0.2857142857142857,23,2021-01-28
33078,2021-04-04,cnig_municipios,8,0,0,0,0.0,0.0,3,2021-01-15
33058,2021-04-04,cnig_municipios,74,0,0,1,0.0,0.07142857142857142,22,2020-10-15
33046,2021-04-04,cnig_municipios,15,0,0,0,0.0,0.0,5,2021-02-18
33020,2021-04-04,cnig_municipios,843,2,6,9,0.8571428571428571,0.6428571428571429,39,2021-01-24
33041,2021-04-04,cnig_municipios,149,0,3,5,0.42857142857142855,0.35714285714285715,5,2020-10-18
33021,2021-04-04,cnig_municipios,329,0,2,2,0.2857142857142857,0.14285714285714285,11,2021-01-29
33010,2021-04-04,cnig_municipios,70,0,1,3,0.14285714285714285,0.21428571428571427,4,2020-04-03
33038,2021-04-04,cnig_municipios,59,0,1,1,0.14285714285714285,0.07142857142857142,3,2021-01-27
33004,2021-04-04,cnig_municipios,4374,4,25,51,3.5714285714285716,3.642857142857143,99,2021-01-29
33012,2021-04-04,cnig_municipios,225,1,2,3,0.2857142857142857,0.21428571428571427,10,2021-03-05
33027,2021-04-04,cnig_municipios,12,0,0,0,0.0,0.0,3,2020-10-05
33047,2021-04-04,cnig_municipios,23,0,0,0,0.0,0.0,3,2020-12-22
33071,2021-04-04,cnig_municipios,18,0,0,0,0.0,0.0,4,2021-02-03
33007,2021-04-04,cnig_municipios,43,0,2,2,0.2857142857142857,0.14285714285714285,3,2020-09-14
33062,2021-04-04,cnig_municipios,13,0,0,0,0.0,0.0,2,2021-02-02
33063,2021-04-04,cnig_municipios,9,0,0,0,0.0,0.0,3,2021-01-27
33009,2021-04-04,cnig_municipios,20,0,0,0,0.0,0.0,3,2020-10-09
33056,2021-04-04,cnig_municipios,153,0,1,2,0.14285714285714285,0.14285714285714285,12,2021-01-28
33057,2021-04-04,cnig_municipios,53,0,1,3,0.14285714285714285,0.21428571428571427,4,2021-01-11
33025,2021-04-04,cnig_municipios,480,3,5,11,0.7142857142857143,0.7857142857142857,12,2021-02-03
33065,2021-04-04,cnig_municipios,42,0,0,0,0.0,0.0,4,2021-01-28
33074,2021-04-04,cnig_municipios,70,0,6,7,0.8571428571428571,0.5,5,2021-02-02
33033,2021-04-04,cnig_municipios,761,2,7,13,1.0,0.9285714285714286,37,2020-11-24
33053,2021-04-04,cnig_municipios,83,0,0,0,0.0,0.0,21,2021-01-22
33044,2021-04-04,cnig_municipios,9917,17,197,420,28.142857142857142,30.0,156,2020-11-11
33061,2021-04-04,cnig_municipios,1,0,0,1,0.0,0.07142857142857142,1,2021-03-24
33019,2021-04-04,cnig_municipios,75,0,0,0,0.0,0.0,3,2021-01-16
33006,2021-04-04,cnig_municipios,73,0,0,0,0.0,0.0,5,2021-02-16
33051,2021-04-04,cnig_municipios,320,1,3,7,0.42857142857142855,0.5,22,2020-04-11
33031,2021-04-04,cnig_municipios,2269,10,78,153,11.142857142857142,10.928571428571429,74,2020-11-12
33022,2021-04-04,cnig_municipios,6,0,0,0,0.0,0.0,2,2020-11-16
33005,2021-04-04,cnig_municipios,41,0,0,2,0.0,0.14285714285714285,3,2021-02-19
33045,2021-04-04,cnig_municipios,218,0,5,15,0.7142857142857143,1.0714285714285714,9,2021-01-20
33034,2021-04-04,cnig_municipios,341,0,2,3,0.2857142857142857,0.21428571428571427,8,2020-09-18
33055,2021-04-04,cnig_municipios,28,0,0,0,0.0,0.0,5,2021-01-18
33067,2021-04-04,cnig_municipios,43,0,1,1,0.14285714285714285,0.07142857142857142,6,2020-11-10
33008,2021-04-04,cnig_municipios,43,0,0,1,0.0,0.07142857142857142,4,2021-02-09
33043,2021-04-04,cnig_municipios,11,0,0,0,0.0,0.0,2,2020-09-20
33039,2021-04-04,cnig_municipios,50,0,1,1,0.14285714285714285,0.07142857142857142,3,2020-11-06
33068,2021-04-04,cnig_municipios,16,0,0,0,0.0,0.0,2,2020-10-27
33077,2021-04-04,cnig_municipios,9,0,0,0,0.0,0.0,3,2021-01-09
33076,2021-04-04,cnig_municipios,521,4,9,12,1.2857142857142858,0.8571428571428571,35,2020-11-05
33026,2021-04-04,cnig_municipios,539,0,1,2,0.14285714285714285,0.14285714285714285,41,2020-03-19
33066,2021-04-04,cnig_municipios,2287,3,55,138,7.857142857142857,9.857142857142858,61,2020-11-13
33024,2021-04-04,cnig_municipios,13727,27,201,436,28.714285714285715,31.142857142857142,368,2020-11-13
33023,2021-04-04,cnig_municipios,45,0,0,1,0.0,0.07142857142857142,3,2021-01-20
33070,2021-04-04,cnig_municipios,64,0,1,1,0.14285714285714285,0.07142857142857142,4,2020-03-15
33028,2021-04-04,cnig_municipios,21,0,1,1,0.14285714285714285,0.07142857142857142,3,2020-12-11
33014,2021-04-04,cnig_municipios,442,2,12,15,1.7142857142857142,1.0714285714285714,18,2020-10-30
33037,2021-04-04,cnig_municipios,1626,11,66,94,9.428571428571429,6.714285714285714,41,2020-10-09
33064,2021-04-04,cnig_municipios,14,0,0,2,0.0,0.14285714285714285,3,2020-12-17
33029,2021-04-04,cnig_municipios,12,0,0,0,0.0,0.0,3,2021-03-01
33036,2021-04-04,cnig_municipios,484,3,24,42,3.4285714285714284,3.0,15,2021-01-16
33054,2021-04-04,cnig_municipios,44,0,0,1,0.0,0.07142857142857142,3,2020-11-10
33060,2021-04-04,cnig_municipios,811,0,24,47,3.4285714285714284,3.357142857142857,34,2020-11-05
33059,2021-04-04,cnig_municipios,210,0,1,1,0.14285714285714285,0.07142857142857142,17,2021-01-27
33018,2021-04-04,cnig_municipios,60,0,0,0,0.0,0.0,5,2021-02-09
33048,2021-04-04,cnig_municipios,1,0,0,0,0.0,0.0,1,2020-10-31
33032,2021-04-04,cnig_municipios,843,1,15,26,2.142857142857143,1.8571428571428572,30,2020-11-24
33072,2021-04-04,cnig_municipios,63,0,1,3,0.14285714285714285,0.21428571428571427,6,2020-10-09
33011,2021-04-04,cnig_municipios,448,0,4,8,0.5714285714285714,0.5714285714285714,16,2021-01-25
33075,2021-04-04,cnig_municipios,6,0,0,1,0.0,0.07142857142857142,2,2021-01-30
33073,2021-04-04,cnig_municipios,237,0,0,0,0.0,0.0,8,2021-02-05
33040,2021-04-04,cnig_municipios,192,0,1,3,0.14285714285714285,0.21428571428571427,11,2020-11-13
33003,2021-04-04,cnig_municipios,19,0,0,2,0.0,0.14285714285714285,3,2020-12-30
33042,2021-04-04,cnig_municipios,214,0,4,5,0.5714285714285714,0.35714285714285715,9,2021-01-20
33016,2021-04-04,cnig_municipios,1269,1,5,12,0.7142857142857143,0.8571428571428571,33,2021-01-24
33050,2021-04-04,cnig_municipios,19,0,0,0,0.0,0.0,3,2020-09-30
