id,date,layer,population,total_cases,new_cases,active_cases_7,active_cases_14,new_cases_mean_7,new_cases_mean_14,max_new_cases,max_new_cases_date,active_cases_14_by_100k,active_cases_7_by_100k,new_cases_by_100k,total_cases_by_100k
18,2021-08-10,zbs_15,,2492,4,47,125,6.714285714285714,8.928571428571429,30,2020-11-22,,,,
23,2021-08-10,zbs_15,,2858,11,60,125,8.571428571428571,8.928571428571429,54,2020-04-05,,,,
07,2021-08-10,zbs_15,,704,2,18,42,2.5714285714285716,3.0,18,2021-07-09,,,,
15,2021-08-10,zbs_15,,875,1,13,32,1.8571428571428572,2.2857142857142856,54,2020-10-10,,,,
21,2021-08-10,zbs_15,,1838,0,30,76,4.285714285714286,5.428571428571429,25,2021-01-18,,,,
31,2021-08-10,zbs_15,,83,0,1,2,0.14285714285714285,0.14285714285714285,8,2020-10-07,,,,
47,2021-08-10,zbs_15,,2079,3,20,53,2.857142857142857,3.7857142857142856,43,2020-10-12,,,,
12,2021-08-10,zbs_15,,1398,2,14,59,2.0,4.214285714285714,24,2020-10-18,,,,
27,2021-08-09,zbs_15,,700,3,13,23,1.8571428571428572,1.6428571428571428,18,2020-04-22,,,,
42,2021-08-09,zbs_15,,524,2,6,14,0.8571428571428571,1.0,25,2020-10-19,,,,
50,2021-08-09,zbs_15,,1496,11,52,89,7.428571428571429,6.357142857142857,27,2020-10-22,,,,
32,2021-08-09,zbs_15,,1732,3,74,189,10.571428571428571,13.5,24,2021-07-21,,,,
11,2021-08-09,zbs_15,,1836,1,36,97,5.142857142857143,6.928571428571429,27,2021-07-10,,,,
41,2021-08-09,zbs_15,,777,6,17,24,2.4285714285714284,1.7142857142857142,77,2020-05-28,,,,
43,2021-08-09,zbs_15,,822,0,15,28,2.142857142857143,2.0,20,2020-10-26,,,,
64,2021-08-09,zbs_15,,1472,2,14,53,2.0,3.7857142857142856,67,2020-05-28,,,,
19,2021-08-09,zbs_15,,1305,2,21,53,3.0,3.7857142857142856,21,2021-07-15,,,,
28,2021-08-09,zbs_15,,1709,0,19,62,2.7142857142857144,4.428571428571429,21,2020-10-28,,,,
09,2021-08-09,zbs_15,,219,0,0,4,0.0,0.2857142857142857,17,2021-01-18,,,,
44,2021-08-09,zbs_15,,1906,6,34,95,4.857142857142857,6.785714285714286,58,2020-09-20,,,,
38,2021-08-09,zbs_15,,1122,0,18,88,2.5714285714285716,6.285714285714286,21,2020-11-06,,,,
30,2021-08-09,zbs_15,,110,0,3,5,0.42857142857142855,0.35714285714285715,6,2020-10-08,,,,
25,2021-08-09,zbs_15,,2647,6,47,107,6.714285714285714,7.642857142857143,44,2021-07-04,,,,
