id,date,layer,population,total_cases,new_cases,active_cases_7,active_cases_14,new_cases_mean_7,new_cases_mean_14,max_new_cases,max_new_cases_date,active_cases_14_by_100k,active_cases_7_by_100k,new_cases_by_100k,total_cases_by_100k
39090,2020-07-21,cnig_municipios,1688.2842211404538,5,0,0,0,0.0,0.0,1,2020-04-20,0.0,0.0,0.0,0.0029615866436413455
39067,2020-07-21,cnig_municipios,1066.9262786834977,8,0,1,1,0.14285714285714285,0.07142857142857142,1,2020-05-25,0.0009372718808968888,0.0009372718808968888,0.0,0.00749817504717511
39056,2020-07-21,cnig_municipios,3138.2840681437992,14,0,0,0,0.0,0.0,3,2020-05-21,0.0,0.0,0.0,0.004461036571581163
39080,2020-07-21,cnig_municipios,9124.479360498006,10,0,0,0,0.0,0.0,1,2020-04-04,0.0,0.0,0.0,0.0010959529420705718
39070,2020-07-21,cnig_municipios,204.6750690864792,0,0,0,0,0.0,0.0,0,2020-03-30,0.0,0.0,0.0,0.0
39040,2020-07-21,cnig_municipios,5967.739862849333,10,0,1,1,0.14285714285714285,0.07142857142857142,1,2020-04-04,0.00016756762576486435,0.00016756762576486435,0.0,0.0016756762576486436
39058,2020-07-21,cnig_municipios,1333.008681114094,9,0,0,0,0.0,0.0,2,2020-04-03,0.0,0.0,0.0,0.006751643952144433
39010,2020-07-21,cnig_municipios,808.9002615624744,0,0,0,0,0.0,0.0,0,2020-03-30,0.0,0.0,0.0,0.0
39071,2020-07-21,cnig_municipios,526.3731440191235,1,0,0,0,0.0,0.0,1,2020-04-11,0.0,0.0,0.0,0.001899792972651487
39047,2020-07-21,cnig_municipios,10817.84369743974,5,0,0,0,0.0,0.0,1,2020-04-02,0.0,0.0,0.0,0.00046219931992392817
39095,2020-07-21,cnig_municipios,4429.732358983491,43,0,0,0,0.0,0.0,1,2020-04-02,0.0,0.0,0.0,0.009707132737443168
39083,2020-07-21,cnig_municipios,1642.1434065526562,9,0,1,1,0.14285714285714285,0.07142857142857142,3,2020-06-25,0.0006089602138337572,0.0006089602138337572,0.0,0.005480641924503815
39041,2020-07-21,cnig_municipios,2514.3369039410695,15,0,0,0,0.0,0.0,2,2020-04-23,0.0,0.0,0.0,0.005965787630324487
39084,2020-07-21,cnig_municipios,1428.228414543966,0,0,0,0,0.0,0.0,0,2020-03-30,0.0,0.0,0.0,0.0
39073,2020-07-21,cnig_municipios,12300.400773204774,77,0,3,3,0.42857142857142855,0.21428571428571427,6,2020-04-27,0.0002438944921644511,0.0002438944921644511,0.0,0.006259958632220911
39092,2020-07-21,cnig_municipios,1332.4217166752492,1,0,0,0,0.0,0.0,1,2020-04-25,0.0,0.0,0.0,0.0007505131352071243
39033,2020-07-21,cnig_municipios,1110.2849438918247,4,0,2,2,0.2857142857142857,0.14285714285714285,2,2020-07-19,0.001801339386796963,0.001801339386796963,0.0,0.003602678773593926
39002,2020-07-21,cnig_municipios,5658.485546977709,26,0,0,2,0.0,0.14285714285714285,2,2020-04-03,0.0003534514638935913,0.0,0.0,0.004594869030616687
